Dashboard Level,Metric Description,Source
Course overview,Total score earned by a student on learning elements in each course,LAAC
Course overview,Possible total score for all learning elements in each course,LAAC
Course overview,Total time spent by a student in each course in a given time period,LAAC
Course overview,Last three learning elements of any course completed by a student,LAAC
Course overview,Completion date of the last three learning elements of any course completed by a student,LAAC
Topic overview,Total score earned by a student on learning elements in each topic,LAAC
Topic overview,Possible total score for all learning elements in each topic,LAAC
Topic overview,Total time spent by a student in each topic in a given time period,LAAC
Topic overview,Last three learning elements of any topic in a course completed by a student,LAAC
Topic overview,Completion date of the last three learning elements of any course completed by a student,LAAC
Learning element overview,Current completion status of the best attempt by a student for each learning element,LAAC
Learning element overview,Date of the best attempt of a student for each learning element,LAAC
Learning element overview,Score for the best attempt of a student at each learning element,LAAC
Learning element overview,Total time spent by a student on each learning element in a given time period,LAAC
Learning element overview,Last three learning elements of a topic completed by a student,LAAC
Learning element overview,Completion date of the last three learning elements of a topic completed by a student,LAAC
Learning element overview,Average clicks on learning element type (e.g. Self-Assessment-Test (SE)),LAAC
Student,Total number of clicks by a student for a learning element type (e.g. Self-Assessment-Test (SE)),LAAC